"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"495",615,"NCT00042939",575185,0.8,36,45,"Assessed every 6 weeks while on treatment and for 30 days after the end of treatment.",NA,"Arm B: Irinotecan/Docetaxel/Cetuximab","Patients received Cetuximab intravenously once a week for 6 weeks. On day 1 of cycle 1 only, an initial dose of 400 mg/m² (over 120 minutes) was administered. Thereafter, a once-a-week maintenance dose of 250 mg/m² (infused over 60 minutes), was given. The infusion rate never exceeded 5 ml/minute.
On the day of the initial dose, the administration of Cetuximab was followed by the administration of docetaxel, after a 60-minute observation period. (The observation period was 30 minutes following maintenance doses.) Docetaxel was administered intravenously over 60 minutes at a dose of 35 mg/m². Docetaxel was diluted in 100-150 ml of infusion solution. After the completion of the docetaxel infusion, irinotecan was administered intravenously over 30 minutes at a dose of 50 mg/m².
Chemotherapy was administered once a week (days 1, 8, 15, 22) for 4 consecutive weeks followed by 2 weeks rest. Cetuximab was administered once a week for 6 consecutive weeks. A cycle of treatment was 6 weeks."
"503",625,"NCT02439138",6265,0.8,4,5,"Adverse events were collected from the time of screening until 30 days post treatment discontinuation, up to 16 weeks (median 4 weeks).",NA,"GS-1101","After the screening procedures confirms eligibility to participate in the research study. Treatment will be administered on an outpatient basis.
-- Idelalisib (GS-11-01) orally, predetermined dose twice daily per cycle for up to 6 cycles. After this initial 6 month period, for Cycles 7 and beyond, Idelalisib will be administered once a day until disease progression.
GS-1101"
"508",631,"NCT01214616",193345,0.8,4,5,"during the treatment period or up to 28 days after the completion of drug administration, up to 730 days",NA,"Afatinib 40 mg With Vinorelbine 25 mg/m^2 (Cohort 2)","Afatinib 40 mg oral administration once a day with vinorelbine 25 mg/m^2 intravenous injection weekly"
"513",640,"NCT00787852",337045,0.8,4,5,"Baseline then approximately 30 days post the last dose of drug, which could be up to 2.5 years.",NA,"Group 2","DAY Radiation 1-5 8-12 15-19 22-26 29-33 36-40 43-47 Paclitaxel 1 8 15 22 29 36 43 Carboplatin 1 8 15 22 29 36 43 Dasatinib ----------------------------------------------------------------------Maintenance Dasatinib RT: External radiotherapy, 64.8 Gy, for 35 fx Paclitaxel: 50 mg/m2/week over 1 hour IV infusion days 1, 8, 15, 22, 29, 36, 43 Carboplatin: AUC = 2 IV infusion days 1, 8, 15, 22, 29, 36, 43 Dasatinib Dose Level With chemoradiation Maintenance x 2 years* Dasatinib is to be taken 1x daily
70 mg daily"
"520",650,"NCT00458237",461374,0.8,4,5,"Assessed each cycle throughout treatment from time of first dose and up to day 30 post-treatment. Median duration of treatment was 2.4 months.","Maximum grade toxicity by type was first calculated. Serious AEs were defined as events with treatment-attribution of possibly, probably or definitely and grade 3 or higher per CTCAEv3. Other AEs were defined as events with treatment-attribution of possible, probable or definite and grades 1 or 2 per CTCAEv3.","Phase II: Everolimus (Maximum Tolerated Dose) and Trastuzumab","Cycle duration is 21 days. Participants receive trastuzumab 6 mg/kg [8 mg/kg loading dose] IV once every three weeks and take everolimus at the MTD (10 mg) by mouth daily on days 1-21. Participants are treated until disease progression or unacceptable toxicity."
"534",665,"NCT01309997",164184,0.789473684,15,19,"18 months",NA,"Rituximab as Secondary Therapy","Arm II = rituximab, adverse event occurred after the start date of rituximab. (All participants in this group received imatinib prior)."
"537",669,"NCT01514864",116375,0.785714286,11,14,NA,NA,"Dasatinib, 140 mg","Participants with nonsmall-cell lung cancer received dasatinib, 140 mg, once daily as a tablet until unacceptable toxicity or disease progression occurred. Data from both arms were combined for safety reporting, because the safety profile of dasatinib should not have be affected by the type of mutation in the tumor. In addition, pooling the data from both arms increased the robustness of the data set."
"547",681,"NCT00847015",314404,0.777777778,14,18,NA,NA,"Gemcitabine, Cisplatin, and Sunitinib","This is a phase II study of GCS (Gemcitabine, Cisplatin, and Sunitinib) as neoadjuvant chemotherapy in patients with muscle-invasive urothelial carcinoma of the bladder. Patients with muscle invasive urothelial carcinoma who are candidates for radical cystectomy will be enrolled.
Gemcitabine, Cisplatin, and Sunitinib: Patients will receive four cycles of GCS administered every 21 days followed by radical cystectomy. Sunitinib will be administered at a dose of 25mg orally once daily for 2 consecutive weeks followed by a 1 week rest period. Gemcitabine 1,000 mg/m2 and cisplatin 35 mg/m2 will be administered intravenously on days 1 and 8."
"550",685,"NCT01647711",90432,0.777777778,7,9,"From first treatment administration until 28 days after the last administration, up to 448 days",NA,"Afatinib 150mg","Patients received oral administration of afatinib 150mg film-coated tablet once daily for three days, repeated every 14 days, during each 28-day cycle."
"562",701,"NCT01084083",234316,0.775280899,69,89,"Assessed every cycle while on treatment and for 3 months after completion of concurrent treatment to capture late radiation toxicities",NA,"All Treated Patients","Patients receive cisplatin IV on day 1 and paclitaxel IV and cetuximab IV on days 1, 8, and 15. Treatment repeats every 21 days for 3 courses. Patients then undergo evaluation of response to induction therapy. Patients with a CR at the primary tumor site proceed to group 1 of concurrent low-dose IMRT and cetuximab. Patients with a PR or SD at the primary tumor site or those with grossly positive disease at the primary tumor site proceed to group 2 of concurrent standard dose IMRT and cetuximab.
Adverse events data were reported for all patients received at least one dose of protocol therapy."
"564",704,"NCT00123487",554724,0.773770492,236,305,"Day 1 up to 7 years","Participants who received at least one dose of study drug were analyzed. Participants were analyzed based on the treatment they actually received, not what they were randomized to receive.","Dasatinib 70 mg BID","Dasatinib was administered orally at a dose of 70 mg twice a day (BID) until disease progression, drug toxicity, withdrawal of consent, investigator or sponsor decision, pregnancy, or decision to do stem cell transplant."
"592",735,"NCT00392496",486985,0.764705882,13,17,NA,NA,"Arm I","This is a non-randomized, open-label, multicenter study. Patients receive sunitinib malate orally once daily on days 1-28. Treatment repeats every 4 weeks for a maximum of 12 courses in the absence of disease progression or unacceptable toxicity."
"603",750,"NCT00673049",381614,0.759036145,63,83,NA,"The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study. All treated subjects were analyzed for AEs and SAEs.","Erlotinib, Then Figitumumab","Figitumumab (20 mg/kg) was given as a single agent after participants had disease progression on erlotinib alone. Figitumumab was given in 3-week cycles as IV infusion on study Days 1 and 2 in Cycle 1, and on Day 1 every 3 weeks (from Day 1) thereafter."
"612",760,"NCT00520975",438994,0.755555556,34,45,"Assessed every cycle (1 cycle=4 weeks during Induction therapy, 1 cycle=3 weeks during Maintenance therapy) while on treatment and for 30 days after the end of treatment","After discontinuation of treatment, severe (Grade ≥ 3) long term toxicity that had not been previously reported were collected via the Long term follow-up form using the following schedule: every 3 months within 2 years of registration, then every 6 months in years 2-5, annually afterward until year 10.","Arm B (Chemotherapy and Bevacizumab)","INDUCTION THERAPY: Patients receive trastuzumab and paclitaxel with or without carboplatin as in Arm A. Patients also receive bevacizumab IV over 30-90 minutes on days 1 and 15. Treatment repeats every 4 weeks for 6 courses in the absence of disease progression or unacceptable toxicity.
MAINTENANCE THERAPY: Beginning 1 week after the last dose of induction trastuzumab, patients receive trastuzumab IV over 30-90 minutes and bevacizumab IV over 30-90 minutes on day 1. Treatment repeats every 3 weeks in the absence of disease progression or unacceptable toxicity.
Bevacizumab: Given IV
Carboplatin: Given IV
Paclitaxel: Given IV
Trastuzumab: Given IV"
"616",764,"NCT00123487",554725,0.75,228,304,"Day 1 up to 7 years","Participants who received at least one dose of study drug were analyzed. Participants were analyzed based on the treatment they actually received, not what they were randomized to receive.","Dasatinib 140 mg QD","Dasatinib was administered orally at a dose of 140 mg once a day (QD) until disease progression, drug toxicity, withdrawal of consent, investigator or sponsor decision, pregnancy, or decision to do stem cell transplant."
"620",769,"NCT00986674",267018,0.75,36,48,"Assessed every cycle (6 weeks) while on treatment and for 30 days after the end of treatment.","After off treatment, patients were assessed every 3 months if <2 years and every 6 months in year 3 to report any reportable long-term toxicity occurring prior to diagnosis of progression/relapse that has not been previously reported.","Arm III (Carboplatin, Paclitaxel, Cetuximab, Cixutumumab)","Patients receive carboplatin, paclitaxel, and cetuximab as in arm I. Patients also receive cixutumumab as in arm II. Treatment repeats every 42 days for 2 courses. Patients with stable or responding disease after 2 courses proceed to maintenance therapy with cetuximab as in arm I and cixutumumab as in arm II."
"623",773,"NCT00126594",553865,0.75,30,40,"Adverse event reporting from time of first intervention to follow up 30 days beyond last intervention. Overall study period: June 2005 to August 2013.","Revised NCI Common Terminology Criteria for Adverse Events (CTCAE) version 3.0 utilized for AE reporting until September 30, 2010. CTCAE version 4.0 utilized beginning October 1, 2010.","Sorafenib Tosylate, Recombinant Interferon Alfa-2b","Arm II: Sorafenib as in Arm I and low-dose Interferon alfa-2b 0.5 million units subcutaneously twice daily on days 1-28."
"632",784,"NCT01121575",223335,0.75,9,12,"Up to Maximum of treatment duration + 28 days for each participant (could be 295 days)","The same event may appear as both an AE and a SAE. However, what is presented are distinct events. The below tables included all causality SAEs (frequency threshold 0%) and AEs ( frequency threshold 5%).","Expansion Cohort 2","Participants were treated first with single agent dacomitinib at a dose determined by agreement between the investigator and the sponsor, and then, at progression, with combined maximum tolerated dose of crizotinib and dacomitinib (given orally on a continuous schedule in 21-day cycles of crizotinib 200 mg BID + dacomitinib 30 mg QD) as soon as feasible, and no later than 28 days after documentation of progressive disease. Expansion Cohort 2 used the same participant population as Expansion Cohort 1 and was designed to assess the clinical value of adding crizotinib to dacomitinib treatment after disease progression on dacomitinib alone."
"634",786,"NCT00071006",570784,0.75,9,12,NA,"The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study.","Axitinib","Axitinib (AG-013736) tablet administered orally at a dose of 5 milligram (mg) twice daily (BID) continuously. Treatment was administered continuously until progression, relapse, failure, or disease transformation or toxicity occurred."
"638",791,"NCT01498458",119454,0.75,6,8,"24 months",NA,"Pazopanib Plus Capecitabine","There was only one arm in this study as this was a dose escalation study."
"648",803,"NCT00351039",501261,0.75,6,8,"26 months","All noted adverse events were reported on the accrued patients. Hence the threshold is Zero.","Experimental: Bevacizumab, Erlotinib, Pemetrexed","Treatment Regimen Item 1: Bevacizumab 10mg/Kg I. V. Day 1 and Day 15. Repeat cycles every 28 days. Treatment Regimen Item 2: Erlotinib(Tarceva™) 150mg Per Orally (PO) Once Daily (QD) for 7 days starting day 2 and day 15. Repeat cycles every 28 days. Treatment Regimen Item 3: Pemetrexed(Alimta™) 500mg/m2 I.V. Day 1 and Day 15. Repeat cycles every 28 days. The regimen then was modified to the following dose:
Bevacizumab 15mg/kg Day 1 every 21 days (Q21); Pemetrexed 500 mg/m2 Day 1 Q 21; Erlotinib 150 mg QD PO Day 2 to day 15 (Both days inclusive). This dose was then recommended to be Phase II dose."
